name,artist,album,id,popularity,duration
Not Needed Anymore,Louis Cole,Quality Over Opinion,0oItj9CkPYcBotmnFVG1Fi,38,92400
The Sorcerer,Cory Wong,Starship Syncopation,2KtfCgvh5zQIa6cNJnElw8,41,253257
King Bozzi,Cory Wong,Starship Syncopation,70tj32CueROkuHxSdUpkcY,42,277260
Girlfriend Is Better,Talking Heads,Speaking in Tongues,37kkHqpkzTEGOJYHRb6JZG,40,345373
Starship Syncopation,Cory Wong,Starship Syncopation,0p1Mp6sT4Nzq3DWnZPvqs8,46,230587
Girlfriend Is Better,girl in red,Girlfriend Is Better,42APulJOnvAk8aj7WhzImT,54,185333
Second Nature,Clairo,Charm,7cFwopK7QTOgaEwF9JgipA,72,227409
Sadness As A Gift,Adrianne Lenker,Sadness As A Gift,6oBIzNjrQ7ibErxk1ZbdfA,50,259015
Thank You,Clairo,Charm,0mMlo76aVZHpuvoR6fjBSK,71,205069
Easier Said Than Done,Thee Sacred Souls,Thee Sacred Souls,4zIeRcsaho6lZuaXEYR1y3,74,174706
Banankontakt,Electric Banana Band,The Golden Years,5iYEXdtbDuFz0efumEbeak,38,262733
Männer,Herbert Grönemeyer,Was Muss Muss - Best Of,2PfEAFaaLabTXfmlV58LIj,58,238800
ミッドナイト・ブルース,Ichiro Araki,荒木一郎 不滅のベスト TRIO RECORDS編,6EH03fSjDB864QOeii1Jjq,19,256333
真夜中のジョーク,間宮貴子,LOVE TRIP,2l87IVFxZYLKKuRZCCIyV9,48,292866
Mr. Funky samba,Banda Black Rio,Maria Fumaça (Remasterizado),4SXWXupjFY49tbQWCG5rFf,38,219173
Vidigal,Banda Black Rio,Gafieira Universal,4y2Va0sLjrmSb0iAovAkmP,39,217733
Denize Doğru,Bülent Ortaçgil,Sen,6pIc4HoRpKrTDF5oUKCg2e,43,201600
The Place Where He Inserted the Blade,"Black Country, New Road",Ants From Up There,3k2kIiJqUiIP49iUcOLpWT,55,433360
Eine Schwarzwaldfahrt,Klaus Wunderlich,Evergreens 2,5hmHIE2I7equeVZfEl78u5,15,164867
All Night Long,Mary Jane Girls,Mary Jane Girls,62ubbkWAhTOftwgRjHS1UH,45,333293
Déjame Decirte Algo,Chico Trujillo,Arriba las Nalgas,2XaRsB6RgMeH7PzQYRNM2K,51,161655
Manifest,Andrew Bird,My Finest Work Yet,7oChm7YC5PS1NvEkRCgswG,50,317413
Are You Serious,Andrew Bird,Are You Serious,2OYmCSVGmN5vXuG5dX5LKY,45,218413
Roma Fade,Andrew Bird,Are You Serious,5fMZ4cDsfhxR7gnFdtrWCy,49,243120
Pulaski at Night,Andrew Bird,I Want to See Pulaski at Night,3v6NuKeDbFbaq1lNjw3XtR,54,289093
Sisyphus,Andrew Bird,My Finest Work Yet,403vzOZN0tETDpvFipkNIL,58,247493
"RUEDA, RUEDA",María José Llergo,ULTRABELLEZA,1UdrQQLLUqpZ1v94AHYLjT,41,189000
Last Train Home,John Mayer,Sob Rock,0tgBtQ0ISnMQOKorrN9HLX,63,187306
If You Were the Rain,Stephen Day,Undergrad Romance and the Moses in Me,5EXD5rXJ4IVb8g4xSwT0fc,51,220588
Half of My Heart,John Mayer,Battle Studies,7hR5toSPEgwFZ78jfHdANM,63,250373
My Stupid Mouth,John Mayer,Room For Squares,3jFP1e8IUpD9QbltEI1Hcg,48,223960
When the Days Were Different,Kenny Garrett,Sounds from the Ancestors,6Y9mTzuwCANwWM6Y6TFyZP,20,488013
Tonight Tonight,Celeste,Not Your Muse (Deluxe),1lk1AQ4NL2F5INzLcCWa1u,46,219440
There Will Never Be Another You,Lester Young,The President Plays With The Oscar Peterson Trio,6oSm3mBWFxJHEnjE2IqhmA,59,205666
Birdland,Weather Report,Heavy Weather,19vVghIuHm3IAfN4xpRF3q,45,356760
Ponta de Areia,Wayne Shorter,Native Dancer,2SU21YLdwyTnqJpS7Jc3lD,37,315706
Strange - Edit,Celeste,Not Your Muse (Deluxe),3gru1C4urrcg1x2HKy7QUi,40,198374
Pelota,Khruangbin,Mordechai,6FNdzxV9g4NaINrejBTPUi,63,167972
People Everywhere (Still Alive),Khruangbin,The Universe Smiles Upon You,2OQ1V0e2O56AeIo4ywuYKF,71,159013
Connaissais de Face,Khruangbin,Mordechai,0ibpvxLcFccvQJd0SjdUvW,56,260732
Time (You and I),Khruangbin,Mordechai,0S3BtG3i5tkQmehJhIhHF3,62,342189
Lost on You,Joe Tatton Trio,Galáctico,2YlDmAsZWoonp3iAITqWDm,17,269493
Galáctico,Joe Tatton Trio,Galáctico,2FjZgKeAnbK4PmmwbKYsjS,15,261228
There Will Never Be Another You,Nat King Cole,Sings For Two In Love,6k8VkbcU1CrMM2jbWfRF6O,37,218066
I Can't Help It,Michael Jackson,Off the Wall,1HibhNhwk2tljwC4BGGLXV,58,269333
Both Sides Of The Moon,Celeste,Not Your Muse (Deluxe),76oWruR7pYy8Fjvgn4KBUA,58,257239
Have You Met Miss Jones?,Chet Baker,Lonely Star,3TJxlYUS7sPjHkpGrfqxbN,20,397200
Another Day in Paradise - 2016 Remaster,Phil Collins,...But Seriously (Deluxe Edition),1NCuYqMc8hKMb4cpNTcJbD,77,322133
Love Theme From The Robe - Remastered 2023,Yusef Lateef,Eastern Sounds (Remastered 2023),2JMOEBXhwGxrJGowaXMp7L,42,242088
Hardtop,Cory Wong,Turbo,1dlYJGQdVWDuT5sfdONqw3,38,208499
Buggo II,Varra,Buggo II,0xzJcubDzDHjUXN1ubKd86,43,158500
Ring Of Saturn,Cory Wong,Turbo,6Nzt9EN9eLx9Noe0XZMsyT,41,240550
Ready or Not,Fugees,The Score,74Yv0wbf4JLG1Rb5QVNcBJ,40,227040
Killing Me Softly With His Song,Fugees,The Score (Expanded Edition),0Q0IVlqMV64kNLlwjPj0Hl,78,298666
TWO SHRiMPS (feat. Mac DeMarco),DOMi & JD BECK,NOT TiGHT,7FzU7q8yLOkz2k4HZZSDtj,9,185577
En Derinden,Baybora Türe,En Derinden,09zAN0jFIvH6KCLKJQmM4d,0,255733
Cada vez,Garciarena,Cada vez,6BUb7bLih0ipZCquCaUmUf,11,233337
Better Than I Imagined [Feat. H.E.R. & Meshell Ndegeocello],Robert Glasper,Black Radio III,4i8AsLFPCFip6SbEDOFvYq,41,291613
Red Room,Hiatus Kaiyote,Mood Valiant,55mvtucws4Mnro27744t9X,60,232053
TWO SHRiMPS (feat. Mac DeMarco),DOMi & JD BECK,NOT TiGHT,3TcXC3cFAO8jmaoRrYd1a2,41,185577
U DON'T HAVE TO ROB ME,DOMi & JD BECK,NOT TiGHT,4bO4aurVGkuU5FX2984ouZ,35,161934
Real Life,Louis Cole,Time,3SJ4Oc3SHXvvPs40BgKLTr,32,164776
When You're Ugly,Louis Cole,Time,1AING1BmOrEzqdnRuN8tnD,34,190588
Weird Part Of The Night,Louis Cole,Time,5Q9r5uZtc1bHTS0Wd6uS0i,35,260689
La Joya Del Pacífico,Lucho Barrios,Antología 1960 - 1990 (Remastered),5CRZKIoHAypVUYadhr5TC2,39,181786
Un Amor Violento,Los Tres,Los Tres,7zpNN01FLMP70EYGcxCCDY,58,272520
Un Ramito De Violetas,Zalo Reyes,Canto Por Amor,3exX0sgCdCHq91Emx4z2Fz,43,237573
La Torre de Babel,Los Tres,Fome,3AxtYZk8bA3LHaJ1WfYgjj,53,210653
Encuentro,Chico Pérez,Encuentro,3DKA0Se2MMFyLT7lG8sl1x,15,201169
Luna de Plata,Diego Guerrero,Vengo Caminando,2VsdpOdfpgV5JrQpQHqklf,22,293310
Gipsy Sensei,Juan Medina,Gipsy Sensei,2F0e6ubB2YVGgIfdWMi5SE,13,217708
Sjybårturn,Juan Medina,Sjybårturn,4YdLR6pH0TCCrWGxjYE3jl,10,223313
Finding Without Seeking,Victor Tugores,Finding Without Seeking,4kDU1R40XY2fiBtj9REAev,0,250000
Pay Me,The Philharmonik,The Philharmonik,6SHN5cCJKs4AkVStuChozF,40,204631
Summertime,Charlie Parker,Bird: The Complete Charlie Parker On Verve,1H7Xipi1wlBCJShe6yAwkP,6,166160
Déjate Sentir,Antonio Lizana,Quimeras del Mar,7tJSt9YWal4nSe8KeXzBw0,17,261240
Cuba Linda Te Venero,Pepe Marchena,Sus Estilos Flamencos,5rjElGnWfPxDyhFYLXzmB0,20,147880
"¡Ay, Paquita! - Performed by ROSALÍA",Paquita Salas,"¡Ay, Paquita! (Performed by ROSALÍA)",5EmLnaMopRAzdvMVTyPovM,49,52642
It Feels Good To Write A Song,Vulfmon,It Feels Good To Write A Song,467adj5oe7iFD39MbA0VV6,36,178145
Nu Nu,Avishai Cohen,The 50 Gold Selection,1fuixESTW8JFcrlNuLXCgl,10,314600
Remembering,Avishai Cohen,The 50 Gold Selection,0I4qTggFAeRcOQkX0EBlIp,17,314213
When You're Ugly - Instrumental,Louis Cole,Live Sesh and Xtra Songs,6ERlwjJbhBxRpZiynqy2C4,42,108235
Inoportuna,Jorge Drexler,12 segundos de oscuridad,5GCB9mqJzKN4kDKvmqQ03X,55,164946
El Vuelo de los Cuchillos,Juanito Makandé,El Habitante de la Tarde Roja,7rMOUPYzT4ocx4Aa0Ao5sR,18,172336
You Were Just a Kid,Lyle Brewer,Get It Together,5giFReYe11A6IvsipDuk09,37,86503
Peru,Julian Lage,World's Fair,11kEfzLyAPhABo6PESY00q,33,174746
Serenade,Julian Lage,Speak To Me,5pe3wAB03bdlg6CYT61k9L,39,320026
Assassin,The Fearless Flyers,Tailwinds,6VO9i1n879SKNqjZkzaPvB,40,193573
Teen Town,Weather Report,Heavy Weather,4OzXE9NnSdD9aEAwBcnYBI,37,170826
Donna Lee,Jaco Pastorius,Jaco Pastorius,1zWG5Jk6mcC1ewXlYYVaxC,41,147200
But Not For Me - Vocal Version,Chet Baker,Chet Baker Sings,3pfbQmD5xGH9Tcc7GqGfSL,56,184466
Käsebrot,Helge Schneider,I Brake Together,7fii3ZL4mANZtM3XXMzyQU,37,196026
Say It (Over And Over Again),John Coltrane Quartet,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),016HKF7A4O7tatoJ9BgZM1,52,255960
Don't Let Me Down - Remastered 2009,The Beatles,The Beatles 1967 - 1970 (Remastered),3evG0BIqEFMMP7lVJh1cSf,67,215733
Stoner Hill,Brian Blade & The Fellowship Band,Season of Changes,5ZZ8xImiPLEzLtON4k07WO,38,199236
Omission,Julian Lage,Speak To Me,4BNDJ8JLYVc5nkoaIeogna,38,206800
Poetry: How does it feel??? - All About Love Version,Akua Naru,All About Love: New Visions,4Eg1KBwOrcnLZgix9bX9lu,21,448986
Tell Me A Bedtime Story,Takuya Kuroda,Fly Moon Die Soon,7vQqp6Ic5fNYOAfSJlkdT5,9,381123
Sweet Sticky Things,Takuya Kuroda,Fly Moon Die Soon,6LW7lrTmwgeqwuYirR4ySS,21,292482
Corcovado (Quiet Nights Of Quiet Stars),Stan Getz,Getz/Gilberto (Expanded Edition),0Wh99eifNTNqDFRtzWhCE2,61,256560
